image,damage_id,damage_type,damage_name_ko,pixel_nodes_json,world_center_x_m,world_center_y_m,world_center_z_m,length_px,length_m,width_px,width_m,area_m2,source_image_path,tile_original_paths_json,tile_overlay_paths_json
DJI_20260826102236_0200_V.JPG,D013628,SPL,박락,"[[82.5,3734.0],[83.0,3734.5],[83.5,3735.0],[83.5,3736.0],[84.0,3736.5],[84.5,3737.0],[84.5,3738.0],[84.5,3739.0],[85.0,3739.5],[85.5,3740.0],[86.0,3740.5],[86.5,3741.0],[87.0,3741.5],[87.5,3742.0],[88.0,3742.5]]",,,,,,,,,원본사진/DJI_20260826102236_0200_V.JPG,"[""512원본타일/DJI_20260826102236_0200_V__x00000_y03584.png""]","[""512모델예측오버레이/DJI_20260826102236_0200_V__x00000_y03584.png""]"
DJI_20260826102236_0200_V.JPG,D013629,SPL,박락,"[[123.0,3739.5],[123.5,3739.0],[123.5,3738.0],[123.5,3737.0],[123.5,3736.0]]",,,,,,,,,원본사진/DJI_20260826102236_0200_V.JPG,"[""512원본타일/DJI_20260826102236_0200_V__x00000_y03584.png""]","[""512모델예측오버레이/DJI_20260826102236_0200_V__x00000_y03584.png""]"
DJI_20260826102236_0200_V.JPG,D013630,SPL,박락,"[[2128.0,3738.5],[2129.0,3738.5],[2129.5,3738.0]]",,,,,,,,,원본사진/DJI_20260826102236_0200_V.JPG,"[""512원본타일/DJI_20260826102236_0200_V__x02048_y03584.png""]","[""512모델예측오버레이/DJI_20260826102236_0200_V__x02048_y03584.png""]"
DJI_20260826102236_0200_V.JPG,D013631,SPL,박락,"[[117.0,3740.0]]",,,,,,,,,원본사진/DJI_20260826102236_0200_V.JPG,"[""512원본타일/DJI_20260826102236_0200_V__x00000_y03584.png""]","[""512모델예측오버레이/DJI_20260826102236_0200_V__x00000_y03584.png""]"
DJI_20260826102236_0200_V.JPG,D013632,SPL,박락,"[[29.0,3753.5],[30.0,3753.5],[30.5,3753.0],[31.0,3752.5],[32.0,3752.5],[33.0,3752.5],[33.5,3752.0],[34.0,3751.5],[35.0,3751.5],[35.5,3751.0],[36.0,3750.5],[36.5,3750.0],[36.0,3749.5],[35.0,3749.5],[34.0,3749.5],[33.5,3749.0],[33.0,3748.5],[32.5,3748.0],[32.0,3747.5],[31.5,3747.0],[32.0,3746.5],[32.5,3746.0],[33.0,3745.5],[33.5,3745.0],[34.0,3744.5],[34.5,3744.0],[35.0,3743.5],[36.0,3743.5],[36.5,3743.0],[37.0,3742.5],[37.5,3743.0],[38.0,3743.5],[39.0,3743.5],[40.0,3743.5],[41.0,3743.5],[42.0,3743.5],[43.0,3743.5],[44.0,3743.5],[44.5,3743.0],[45.0,3742.5],[46.0,3742.5],[46.5,3742.0]]",,,,,,,,,원본사진/DJI_20260826102236_0200_V.JPG,"[""512원본타일/DJI_20260826102236_0200_V__x00000_y03584.png""]","[""512모델예측오버레이/DJI_20260826102236_0200_V__x00000_y03584.png""]"
DJI_20260826102236_0200_V.JPG,D013633,SPL,박락,"[[2066.5,3748.0],[2066.0,3747.5],[2065.0,3747.5],[2064.5,3747.0],[2064.0,3746.5],[2063.5,3746.0],[2063.5,3745.0],[2063.0,3744.5]]",,,,,,,,,원본사진/DJI_20260826102236_0200_V.JPG,"[""512원본타일/DJI_20260826102236_0200_V__x02048_y03584.png""]","[""512모델예측오버레이/DJI_20260826102236_0200_V__x02048_y03584.png""]"
DJI_20260826102236_0200_V.JPG,D013634,SPL,박락,"[[2095.5,3742.0],[2096.0,3742.5]]",,,,,,,,,원본사진/DJI_20260826102236_0200_V.JPG,"[""512원본타일/DJI_20260826102236_0200_V__x02048_y03584.png""]","[""512모델예측오버레이/DJI_20260826102236_0200_V__x02048_y03584.png""]"
DJI_20260826102236_0200_V.JPG,D013635,SPL,박락,"[[25.0,3745.5],[25.5,3745.0]]",,,,,,,,,원본사진/DJI_20260826102236_0200_V.JPG,"[""512원본타일/DJI_20260826102236_0200_V__x00000_y03584.png""]","[""512모델예측오버레이/DJI_20260826102236_0200_V__x00000_y03584.png""]"
DJI_20260826102236_0200_V.JPG,D013636,SPL,박락,"[[1023.0,3751.5],[1022.5,3752.0],[1022.5,3753.0],[1022.5,3754.0],[1022.5,3755.0],[1022.5,3756.0],[1022.5,3757.0],[1022.5,3758.0],[1022.5,3759.0],[1022.5,3760.0],[1022.5,3761.0],[1022.5,3762.0],[1022.5,3763.0],[1022.5,3764.0],[1022.5,3765.0],[1022.0,3765.5],[1021.5,3766.0]]",,,,,,,,,원본사진/DJI_20260826102236_0200_V.JPG,"[""512원본타일/DJI_20260826102236_0200_V__x00512_y03584.png""]","[""512모델예측오버레이/DJI_20260826102236_0200_V__x00512_y03584.png""]"
DJI_20260826102236_0200_V.JPG,D013637,SPL,박락,"[[3581.5,3745.0],[3582.0,3745.5]]",,,,,,,,,원본사진/DJI_20260826102236_0200_V.JPG,"[""512원본타일/DJI_20260826102236_0200_V__x03072_y03584.png""]","[""512모델예측오버레이/DJI_20260826102236_0200_V__x03072_y03584.png""]"
DJI_20260826102236_0200_V.JPG,D013638,SPL,박락,"[[2102.0,3746.0],[2102.0,3747.0]]",,,,,,,,,원본사진/DJI_20260826102236_0200_V.JPG,"[""512원본타일/DJI_20260826102236_0200_V__x02048_y03584.png""]","[""512모델예측오버레이/DJI_20260826102236_0200_V__x02048_y03584.png""]"
DJI_20260826102236_0200_V.JPG,D013639,SPL,박락,"[[2558.0,3752.5],[2557.5,3753.0],[2557.5,3754.0],[2557.5,3755.0]]",,,,,,,,,원본사진/DJI_20260826102236_0200_V.JPG,"[""512원본타일/DJI_20260826102236_0200_V__x02048_y03584.png""]","[""512모델예측오버레이/DJI_20260826102236_0200_V__x02048_y03584.png""]"
DJI_20260826102236_0200_V.JPG,D013640,SPL,박락,"[[460.0,3747.0],[460.0,3748.0],[460.0,3749.0],[460.0,3750.0]]",,,,,,,,,원본사진/DJI_20260826102236_0200_V.JPG,"[""512원본타일/DJI_20260826102236_0200_V__x00000_y03584.png""]","[""512모델예측오버레이/DJI_20260826102236_0200_V__x00000_y03584.png""]"
DJI_20260826102236_0200_V.JPG,D013641,SPL,박락,"[[419.5,3751.0],[420.0,3751.5],[421.0,3751.5],[422.0,3751.5],[423.0,3751.5],[423.5,3752.0],[424.0,3752.5]]",,,,,,,,,원본사진/DJI_20260826102236_0200_V.JPG,"[""512원본타일/DJI_20260826102236_0200_V__x00000_y03584.png""]","[""512모델예측오버레이/DJI_20260826102236_0200_V__x00000_y03584.png""]"
DJI_20260826102236_0200_V.JPG,D013642,SPL,박락,"[[3581.0,3752.0],[3581.0,3753.0],[3581.0,3754.0],[3581.0,3755.0],[3581.0,3756.0],[3581.0,3757.0],[3581.0,3758.0]]",,,,,,,,,원본사진/DJI_20260826102236_0200_V.JPG,"[""512원본타일/DJI_20260826102236_0200_V__x03072_y03584.png""]","[""512모델예측오버레이/DJI_20260826102236_0200_V__x03072_y03584.png""]"
DJI_20260826102236_0200_V.JPG,D013643,SPL,박락,"[[82.0,3754.0],[83.0,3754.0]]",,,,,,,,,원본사진/DJI_20260826102236_0200_V.JPG,"[""512원본타일/DJI_20260826102236_0200_V__x00000_y03584.png""]","[""512모델예측오버레이/DJI_20260826102236_0200_V__x00000_y03584.png""]"
DJI_20260826102236_0200_V.JPG,D013644,SPL,박락,"[[2138.0,3764.5],[2137.5,3765.0],[2137.0,3765.5],[2136.0,3765.5],[2135.0,3765.5],[2134.0,3765.5],[2133.0,3765.5],[2132.5,3766.0],[2132.0,3766.5],[2131.5,3767.0],[2131.0,3767.5],[2130.5,3768.0],[2130.0,3768.5],[2129.5,3768.0],[2129.0,3767.5],[2128.5,3767.0],[2128.0,3766.5],[2127.5,3766.0],[2127.0,3765.5],[2126.0,3765.5],[2125.5,3766.0],[2125.0,3766.5],[2124.5,3767.0],[2124.5,3768.0],[2124.5,3769.0],[2125.0,3769.5],[2125.5,3770.0],[2125.5,3771.0],[2125.0,3771.5],[2124.5,3772.0],[2124.0,3772.5],[2123.5,3773.0],[2123.0,3773.5],[2122.0,3773.5],[2121.5,3774.0]]",,,,,,,,,원본사진/DJI_20260826102236_0200_V.JPG,"[""512원본타일/DJI_20260826102236_0200_V__x02048_y03584.png""]","[""512모델예측오버레이/DJI_20260826102236_0200_V__x02048_y03584.png""]"
DJI_20260826102236_0200_V.JPG,D013645,SPL,박락,"[[89.5,3786.0],[89.0,3785.5],[88.5,3785.0],[88.0,3784.5],[87.5,3784.0],[87.0,3783.5],[86.5,3783.0],[86.0,3782.5],[85.5,3782.0],[85.5,3781.0],[85.0,3780.5],[84.0,3780.5],[83.5,3780.0],[83.0,3779.5],[82.5,3779.0],[82.0,3778.5],[81.0,3778.5],[80.0,3778.5],[79.0,3778.5],[78.0,3778.5],[77.0,3778.5],[76.0,3778.5],[75.0,3778.5],[74.5,3778.0],[74.5,3777.0],[74.5,3776.0],[74.5,3775.0],[74.5,3774.0],[74.5,3773.0],[74.0,3772.5],[73.5,3772.0],[73.5,3771.0],[73.0,3770.5],[72.5,3770.0],[72.5,3769.0],[72.0,3768.5],[71.5,3769.0],[71.0,3769.5],[70.0,3769.5],[69.5,3770.0],[69.0,3770.5],[68.0,3770.5],[67.5,3770.0],[67.0,3769.5],[66.5,3769.0],[66.0,3768.5],[65.5,3768.0],[66.0,3767.5],[66.5,3767.0],[67.0,3766.5],[67.5,3766.0],[68.0,3765.5],[69.0,3765.5],[70.0,3765.5],[70.5,3766.0],[71.0,3766.5],[72.0,3766.5],[72.5,3766.0],[72.5,3765.0],[72.5,3764.0],[72.0,3763.5],[71.0,3763.5],[70.0,3763.5],[69.0,3763.5],[68.0,3763.5],[67.5,3763.0],[67.0,3762.5],[66.0,3762.5],[65.0,3762.5],[64.0,3762.5],[63.0,3762.5],[62.0,3762.5],[61.0,3762.5],[60.5,3762.0],[60.0,3761.5]]",,,,,,,,,원본사진/DJI_20260826102236_0200_V.JPG,"[""512원본타일/DJI_20260826102236_0200_V__x00000_y03584.png""]","[""512모델예측오버레이/DJI_20260826102236_0200_V__x00000_y03584.png""]"
